Mt-enriched progenitors_name,Mt-enriched progenitors_logfoldchange,Mt-enriched progenitors_pval,Embryonic gut mesenchymal cells_name,Embryonic gut mesenchymal cells_logfoldchange,Embryonic gut mesenchymal cells_pval,Gut wall SM and ICCs_name,Gut wall SM and ICCs_logfoldchange,Gut wall SM and ICCs_pval,Villus SM cells_name,Villus SM cells_logfoldchange,Villus SM cells_pval,Mature fibroblast-like cells_name,Mature fibroblast-like cells_logfoldchange,Mature fibroblast-like cells_pval,Pericytes_name,Pericytes_logfoldchange,Pericytes_pval,Colonic mesenchymal cells-1_name,Colonic mesenchymal cells-1_logfoldchange,Colonic mesenchymal cells-1_pval,Colonic mesenchymal cells-2_name,Colonic mesenchymal cells-2_logfoldchange,Colonic mesenchymal cells-2_pval,Tmem176a+ cells_name,Tmem176a+ cells_logfoldchange,Tmem176a+ cells_pval,Undifferentiated endothelial cells_name,Undifferentiated endothelial cells_logfoldchange,Undifferentiated endothelial cells_pval,Transitioning endothelial cells_name,Transitioning endothelial cells_logfoldchange,Transitioning endothelial cells_pval,Venous endothelial cells_name,Venous endothelial cells_logfoldchange,Venous endothelial cells_pval,Arterial endothelial cells_name,Arterial endothelial cells_logfoldchange,Arterial endothelial cells_pval,Lymphatic endothelial cells_name,Lymphatic endothelial cells_logfoldchange,Lymphatic endothelial cells_pval,Capillary endothelial cells_name,Capillary endothelial cells_logfoldchange,Capillary endothelial cells_pval,Lgr5+ stem/ progenitor cells_name,Lgr5+ stem/ progenitor cells_logfoldchange,Lgr5+ stem/ progenitor cells_pval,Enterocytes-1_name,Enterocytes-1_logfoldchange,Enterocytes-1_pval,Enterocytes-2_name,Enterocytes-2_logfoldchange,Enterocytes-2_pval,Enterocytes-3_name,Enterocytes-3_logfoldchange,Enterocytes-3_pval,Goblet cells_name,Goblet cells_logfoldchange,Goblet cells_pval,Enteroendocrine cells_name,Enteroendocrine cells_logfoldchange,Enteroendocrine cells_pval,Enteric neurons_name,Enteric neurons_logfoldchange,Enteric neurons_pval,Enteric glial cells_name,Enteric glial cells_logfoldchange,Enteric glial cells_pval,Enteric neuronal progenitor cells_name,Enteric neuronal progenitor cells_logfoldchange,Enteric neuronal progenitor cells_pval,Mesothelial progenitor cells_name,Mesothelial progenitor cells_logfoldchange,Mesothelial progenitor cells_pval,Differentiated mesothelial cells_name,Differentiated mesothelial cells_logfoldchange,Differentiated mesothelial cells_pval,Macrophages-1_name,Macrophages-1_logfoldchange,Macrophages-1_pval,Macrophages-2_name,Macrophages-2_logfoldchange,Macrophages-2_pval,Erythrocytes_name,Erythrocytes_logfoldchange,Erythrocytes_pval
Ppia,0.22645505,3.303479613886451e-83,Gas1,2.8051965,0.0,Foxp1,2.2720158,0.0,Gm13889,5.149148,2.1803498397610175e-96,Vcan,4.598796,0.0,Ifitm3,3.2405834,2.7823126619215333e-104,Meg3,3.0499315,1.850977058195796e-273,Mdk,2.5595465,5.904949773593435e-142,Nkx2-3,3.4067073,5.370878880842788e-27,Tagln2,1.6057245,0.0,Lmo2,3.0024333,0.0,Pecam1,3.8331292,3.580813493496141e-151,Clec14a,4.3822846,6.607724306896055e-82,Tbx1,8.034812,5.1897654916552044e-198,Adgrf5,4.8342695,0.0,Fkbp4,2.0343304,0.0,Cps1,5.1351633,0.0,Smim24,5.2385583,0.0,Scp2,3.2146556,5.208413695354583e-240,Spink4,11.165083,8.438018634883472e-118,Vwa5b2,8.2923565,1.4536990845608576e-74,Hand2,3.7163837,0.0,Olfml2a,7.489607,7.98470698554223e-136,Hand2,3.138335,0.0,P3h4,3.0559278,4.6849793054796184e-253,Krt7,4.7298603,2.2453947602897226e-256,C1qc,7.1607995,0.0,Unc93b1,5.4557266,1.0656919758256515e-222,Fech,4.11633,4.2700829121315645e-56
Ptma,0.3820019,2.790913543900576e-82,Gpc3,2.4563487,0.0,Pbx1,2.2745633,0.0,Sept7,2.7574422,4.013889634472512e-96,Mfap5,7.180412,0.0,Abcc9,4.930246,1.0190781730316169e-102,Mfap2,2.256027,4.11008129568441e-269,Lsp1,2.7874513,8.939964233804922e-136,Bgn,3.7262146,7.218944459544165e-27,mt-Nd4,0.6376001,0.0,Gnai2,1.8273051,0.0,Procr,5.19969,1.0774197616148388e-149,Vwf,5.2421627,4.699415467022999e-81,Ramp2,2.9828246,2.3560895591525375e-188,Slco2a1,6.242526,0.0,Rpl27a,0.7510251,0.0,S100g,4.3066545,0.0,Scd2,3.9184225,0.0,Renbp,4.9469466,6.091179641686982e-237,Phgr1,5.5644603,1.1711331521798708e-117,Fam183b,6.9462113,3.9365757237554366e-74,Gap43,5.6510835,0.0,Ctnnal1,5.731118,1.2796333625289105e-134,Erbb3,4.463894,0.0,Myrf,4.621739,2.946373965172366e-248,Cavin1,3.6592662,1.2301113371450435e-249,Spi1,6.8099194,0.0,Ctsh,5.2454886,6.742100513545647e-221,Snca,6.7965684,9.308061638715319e-55
Rpl23a,0.055260044,1.0308996014099093e-73,Ifitm1,2.9445179,0.0,Mfap2,2.1915116,0.0,Tinagl1,4.727289,1.0561942965185336e-94,Fstl1,3.2235727,0.0,Nid2,3.754792,4.832358754281051e-102,Gas1,2.6008823,3.679811228235508e-267,Foxf1,3.08812,7.570837324068829e-135,Tpm1,2.8900406,1.821785398069312e-26,Hbb-y,2.8816113,0.0,Plvap,2.9033084,0.0,Iqgap1,3.101217,1.912790081796467e-149,Lmo2,3.944684,4.59866266628797e-80,Fn1,3.4075615,4.850154670596846e-188,Ptprb,5.304671,0.0,Rps23,0.8988371,0.0,Cystm1,3.902756,0.0,Dbi,3.5436497,0.0,Akr1c19,4.727818,2.1106881991037737e-233,Gm1123,9.103927,1.1221571205341305e-116,Krt7,4.188857,2.1341655757860473e-73,Mllt11,5.7110972,0.0,Vim,3.0046082,7.538708422304783e-134,Celf2,2.788005,0.0,Alad,2.6925788,2.152513805180243e-247,Col6a2,4.1056223,4.520900107812858e-248,Fcgr3,6.854046,0.0,H2-DMa,7.0913157,5.634675276570056e-218,Fam46c,6.504288,7.468443068740031e-54
Eef1a1,0.19793108,3.353453887815045e-73,Rcn3,2.495613,0.0,Mdk,2.2835927,0.0,Actg2,5.446238,2.4694875278082514e-93,Bgn,3.9652283,0.0,Gjc1,3.738762,5.512830159704598e-101,Meis1,2.4966612,1.0976010185614337e-262,Zeb2,2.6210082,7.130090954193309e-132,Ifitm1,3.6264734,2.9873361737448715e-26,mt-Co3,0.56097454,0.0,Crip2,2.671287,0.0,Aqp1,6.41198,6.0647738683769136e-149,Edn1,5.8344164,1.053655533490314e-77,Nrp2,3.2818708,5.111690780333184e-187,Cdh5,4.3133926,0.0,Lgals2,3.4978187,0.0,Tm4sf20,4.3316574,0.0,Rbp2,7.3933277,0.0,Acaa2,3.6922102,2.8435554226300174e-231,Gcnt3,9.788913,6.922464739704074e-116,Chga,7.6646953,1.133430797809898e-71,Crmp1,5.3863134,0.0,Pmp22,4.2806535,3.833062974608294e-133,Pcbp4,3.0212636,0.0,Slc9a3r1,2.5318992,1.000750126187684e-245,Eln,4.281467,1.9782894467127512e-247,Ftl1,1.6298988,0.0,Adamdec1,7.616871,7.604937518880975e-218,Slc25a37,4.9791512,3.5489910274128066e-49
Rps5,0.31193662,1.5356911041985763e-72,Ccdc80,3.131684,0.0,Ldhb,2.499247,0.0,Lmod1,6.896699,4.00287709249515e-92,Itih5,6.297062,0.0,Gcnt2,5.2124085,1.1737582632898186e-99,Hoxa10,5.6286407,2.0695442194325614e-253,Gpc3,2.333367,8.861965135189391e-131,Pdgfra,5.5359735,4.881828213640702e-26,S100a16,2.220543,0.0,Ccdc85b,2.6499732,0.0,Cavin1,3.3406467,9.633721933731484e-148,Stmn2,4.2592115,1.453700969866392e-76,Aplp2,2.6141026,9.84431827680792e-187,Ifitm3,3.2934346,0.0,Rpl10a,0.8755326,0.0,Fbp2,4.067253,0.0,Alpi,6.444012,0.0,Hadh,3.5071406,2.0148687008281648e-230,Txndc5,3.79769,1.4716537646345492e-115,Epcam,4.0063276,1.352708696336161e-68,Nnat,3.6103685,0.0,Ednrb,4.9414783,4.218756761211375e-132,Cnp,4.0177636,0.0,Aprt,1.8714306,2.370315366059837e-241,Anxa1,4.78238,2.7327264124621836e-246,Ptpn18,4.072212,0.0,Ccl24,7.810197,2.004476835451579e-214,Gclm,2.846137,2.2960047318716527e-45
Tubb5,0.44411156,3.5391405121542813e-71,Lum,3.3037667,0.0,Plagl1,2.1811397,0.0,Ebf1,4.0201297,1.3752813979155507e-89,Sparc,3.0283134,0.0,Art3,7.546938,6.759026813975448e-98,Pbx1,2.2181537,3.9539322896814126e-250,Ccnd2,2.3558576,1.1263569739504047e-130,Nid1,3.2425482,5.502753021471837e-26,Crip2,2.0035799,0.0,Col4a1,2.6705616,0.0,Aplp2,2.7910938,1.470015824688976e-147,Crip2,3.1324344,1.5069893020794676e-74,Cav1,3.434704,6.434930458141183e-185,Tcim,4.407952,0.0,Rps13,0.7800775,0.0,Mgst3,3.3627238,0.0,Akr1c13,5.3099375,0.0,Mdh1,2.7692502,3.6279228172171007e-227,Clca1,12.697485,5.750748689514425e-114,Pcsk1,9.266074,5.374064644980875e-68,Eml5,7.127553,0.0,Abca8a,7.257539,4.1753655343881114e-130,Tuba1a,2.2729743,0.0,S100a6,2.7491786,2.769006969561287e-241,Lrrn4,7.185182,2.937182725184196e-245,Ms4a6c,6.722319,0.0,Coro1a,5.357899,2.6236936778738394e-211,Ube2l6,4.802167,6.475687920635844e-45
Rpl10a,0.099090315,1.3348542287548548e-67,Meis2,2.5061584,0.0,Dlk1,2.4088,0.0,Des,4.5562387,3.7706887118774994e-89,Fbn1,3.8747296,0.0,Phlda1,4.731678,6.642368147897041e-96,Gpc3,2.075876,5.926929251674074e-221,Gpc6,3.6837223,2.291631839621562e-130,Bmp4,5.314901,7.265105554253637e-26,Ptma,0.64303625,0.0,Vamp5,2.8657465,0.0,Lbp,5.0348177,1.1300881607210684e-145,Cav1,3.7627573,1.661361383521578e-74,Lmo2,3.0692952,5.307756266603037e-180,Mcam,4.507082,0.0,Cystm1,2.7224216,0.0,Akr1c19,4.124409,0.0,Fabp1,8.5372305,0.0,Slc9a3r1,3.992081,5.4081931319847304e-226,Smim6,6.254271,7.977338292017414e-113,Tpd52,3.1495795,3.7148771248287545e-67,Syt11,5.1314926,0.0,Apoe,5.4269185,8.543981264625775e-130,Chd7,3.1459112,0.0,Frem2,4.941621,5.775238338539775e-236,Upk1b,6.638736,7.626965823979273e-245,Lyz2,6.452283,0.0,B2m,3.4567804,3.7953025868566294e-211,Mkrn1,3.7558036,2.754054548826044e-42
Rps10,0.16743271,5.399204852130305e-64,Pbx1,2.3287067,0.0,Col6a1,2.228946,0.0,Mylk,4.18334,5.425406572679366e-87,Ptn,3.8641572,0.0,Gucy1a1,4.6607337,2.1444459183065816e-94,Smoc2,2.8581443,3.9390387400257054e-212,Ppp1r14a,3.3945017,5.898696316211514e-130,Foxf2,6.58673,2.497281384287012e-25,Ran,0.91955477,0.0,Cav1,2.6968277,0.0,Entpd1,4.8109846,4.487829634458158e-145,Heg1,3.8939555,4.37072332039735e-74,Fgl2,6.383753,4.684517795337361e-179,Tm4sf1,4.5313907,0.0,Rps5,0.92026067,0.0,Tm4sf5,4.1211853,0.0,Fbp2,5.299619,0.0,Fbp2,4.5339007,2.128917832578706e-213,Car8,4.3573365,1.258014977665771e-109,Ddc,5.4503455,1.1362302204479061e-66,Hoxa5,4.76242,0.0,Gpm6b,5.5417027,3.572322531829205e-129,Nell2,5.697067,0.0,Hspb1,3.3329093,4.64104299062768e-233,Gpc3,3.42816,6.362433316973533e-242,Csf1r,5.3697114,0.0,Fcgr3,5.7641735,9.503093405034059e-211,Epb41,3.3828459,1.4348203560128343e-41
Rps4x,0.19260421,6.699447537766587e-59,Grb10,2.014409,0.0,Col23a1,3.8224094,0.0,Parm1,4.83483,3.450335754790224e-85,Zim1,5.4143896,0.0,Epas1,4.07041,3.931924783864121e-93,Lgals1,2.2127454,4.734392943069796e-211,Atxn7l3b,1.8018101,1.1906559265988873e-129,mt-Cytb,1.0272892,2.643812226297942e-25,Fabp4,2.3756166,0.0,Rasip1,2.780279,0.0,Ehd4,3.7111263,1.0401451212620855e-141,Trim47,4.257567,9.513889677737817e-72,Rab11a,2.322308,1.3003608546299914e-178,Esam,4.2655807,0.0,Hspe1,1.5181063,0.0,Anxa4,3.733457,0.0,Hmgcs2,5.594484,0.0,Slc25a3,1.7490197,2.490056370615846e-209,Muc2,11.614806,1.6931931636728877e-109,Pax6,11.911305,2.574043877251218e-66,Rtn1,7.3763504,0.0,Mbp,6.448651,1.9618202016892537e-128,Zeb2,2.6162581,0.0,Gpc3,2.2718372,1.8476585515592397e-228,Wt1,5.0969844,1.2947593887501311e-241,Clta,1.8920282,0.0,Man2b1,4.2396226,9.386843903176472e-209,Gypa,9.756786,1.529663065046463e-29
Rps24,0.15790293,1.7776353594282437e-58,Igf1,3.2143197,0.0,Emp3,1.9637014,0.0,Il13ra1,5.552531,4.0828103717915363e-85,Ebf1,4.0701723,0.0,Cbfa2t3,4.465081,1.0298530780697388e-92,Cdkn1c,2.0207891,2.5460706942703403e-210,Col6a2,2.686757,5.883747427358948e-129,Lgmn,3.3604872,4.0374852266712293e-25,Calm1,0.7526446,0.0,Flt1,2.6838582,0.0,Plvap,3.986584,6.191761874713174e-141,Cd93,3.62426,1.0323980171922552e-71,Arl4a,3.074432,4.5186376904086555e-177,Nid1,3.7596745,0.0,Cdx2,3.4054902,0.0,Chchd10,3.6208506,0.0,Akr1c19,5.483113,0.0,Serpinb6a,3.2982292,5.562780499083194e-208,Qsox1,4.83937,1.4435126537600692e-108,Clps,9.05349,1.2510710124657626e-65,Basp1,2.8681867,0.0,Plekha4,7.6246886,4.6421247079584465e-127,Wwtr1,2.6017377,0.0,Aldh1a2,4.52092,2.049588606372638e-227,Laptm4a,2.3247797,5.258366957435993e-220,Psap,3.0413165,0.0,Tspan13,3.766786,1.1676772481278934e-206,Gm42418,1.1150085,5.526040600517018e-29
Rpl27a,0.11532711,3.567049053160373e-57,Tpm2,2.5270264,0.0,Osr1,3.1534233,0.0,Igfbp7,4.681866,5.542911438573927e-85,Ltbp4,3.4199617,0.0,Ifitm1,3.4828548,2.4868161660182813e-92,Hoxd10,6.6146946,3.740849072500787e-210,Pdgfra,3.6719182,1.3464194434445762e-124,Col1a2,3.3793235,5.300044834820134e-25,mt-Nd1,0.56760716,0.0,Tmsb10,1.3315324,0.0,Egfl7,3.6699665,1.4252780420881302e-140,Klf2,3.929023,2.748967773848884e-71,Prss23,3.3687022,1.2409127246110343e-174,Sox18,4.3729167,0.0,Cldn6,6.964539,0.0,Chpt1,3.6771474,0.0,Cdhr5,6.0516386,0.0,Clec2h,5.54745,1.1325116647455392e-205,Krt19,4.303239,2.9357727942912028e-108,Serpina1c,7.38226,1.3349518217455983e-64,Hoxb5,5.0007477,0.0,Cadm4,6.8149347,3.0180156178899774e-125,Gsta4,3.4551632,0.0,Aebp1,3.1781247,3.151782660097419e-220,Arhgap29,3.6337223,1.8124403259844438e-219,C1qa,6.9790397,0.0,Ms4a6c,6.043811,1.3730068196752404e-206,Pdzk1ip1,3.1418173,6.247299100879226e-28
Hnrnpa1,0.23972204,1.0972743800184727e-56,Col6a1,2.552864,0.0,Rbpms,1.8872286,0.0,Mprip,3.2659945,9.054510709887581e-85,Nid1,3.2807417,0.0,Tns1,4.09165,2.925396449381183e-92,Col3a1,2.4121797,1.3756379222097649e-207,Pkdcc,3.0054967,1.4359174514460813e-123,Igfbp7,3.2004547,6.7707340566894275e-25,Dynll1,0.76259303,0.0,Gimap6,2.8313203,0.0,Tie1,3.675476,4.116544681526994e-139,Itgb1,2.3442461,1.7163972159013452e-70,Lims1,2.6532032,1.965323621397931e-173,Ly6c1,6.9642467,0.0,Rps10,0.704051,0.0,Fabp2,4.0516405,0.0,Reep6,5.3981586,0.0,Cox7c,1.7053123,1.738787839502535e-205,Epcam,4.7040653,4.926456973795254e-108,Bsg,2.1067972,5.893835800361776e-64,Syt1,7.9778805,0.0,Qk,3.2519693,3.71485795035815e-122,Ldhb,2.5089033,0.0,Tgm2,3.6196566,3.9359621649005596e-218,Mgp,4.1007986,2.434701033532462e-218,Gmfg,4.1827483,0.0,AW112010,7.17225,2.414962369699249e-205,Rhd,9.9813385,9.9544526163968e-27
Rplp0,0.2369266,1.8230739698661352e-56,Sfr1,1.7225825,0.0,Mpped2,2.9437077,0.0,Cryab,4.615676,2.2870264651202283e-84,Akap12,3.4093466,0.0,Nid1,3.3489168,2.2433039997363746e-90,Mfap4,2.2830148,3.5906620082017604e-206,Olfml3,2.737628,1.60122588148967e-122,Hhip,7.624265,6.210361192467861e-24,mt-Co2,0.46933395,0.0,Aplnr,3.3775086,0.0,Foxp1,2.9114444,1.275479144557147e-137,Mgp,5.2323575,6.575504273236588e-70,Sox18,3.0498683,6.114196480750058e-173,Cd34,3.8187659,0.0,Tpi1,1.7053907,0.0,Hspe1,2.0128727,0.0,Lgals4,6.3273883,0.0,Uqcrq,2.3485224,3.9368643721740356e-201,Lypd8,5.13634,5.338629419881482e-108,Selenom,2.9006822,1.0114616608540787e-63,Hist3h2ba,4.1974792,0.0,Col11a1,6.7577424,1.549911927326099e-120,Kif21a,3.6072853,0.0,Tceal9,1.5381082,2.098292841321195e-214,Sulf1,4.2705135,2.7741607630574195e-215,Actb,1.2676115,0.0,Mpeg1,6.5635624,3.1157257649547168e-204,Hsd3b6,11.048098,2.6696377369768545e-26
Acta2,1.8949043,7.081335719249414e-56,Tshz2,2.2937884,0.0,Tgfb1i1,2.4228466,0.0,Zeb2,3.658651,2.7956237957518526e-83,Fbln1,3.3421545,0.0,Fabp7,4.656515,9.38211371346705e-87,Zfhx3,2.1814907,3.0400439590170132e-201,Gucy1b1,3.3960054,2.7147196878463236e-121,Pla2g4a,4.7744503,6.717318763617856e-24,Gng5,0.44480553,0.0,Col4a2,2.4137697,0.0,Cdh5,3.6013315,2.8134880131631316e-137,Htra1,6.207558,2.331652644189178e-68,Reln,6.6844077,8.188782919038999e-173,Tcf4,3.1852684,0.0,Ttr,3.136799,0.0,Plac8,3.6576338,0.0,Cdh17,5.1672797,0.0,Rab11a,3.0066457,4.9779290854224286e-201,Cldn7,4.325219,6.410512205836469e-107,Lgals2,4.3269334,4.4753864976249197e-63,Sox4,2.7132025,0.0,Metrn,4.573564,8.765527828450667e-120,Syt11,3.8164191,0.0,Ezr,2.3740067,2.5170514472429607e-212,Hspb1,4.4389205,2.7782121440925217e-214,Ctsb,2.953879,0.0,Lyz2,5.423932,7.253482032120622e-203,March2,2.679516,1.2819641565543696e-25
Rpl5,0.055734314,3.442449503576527e-55,Col5a2,2.3356779,0.0,Lgals1,2.0379891,0.0,Pdgfa,4.092767,3.5540704671312905e-83,Cpe,3.5481462,0.0,Cspg4,5.5744104,5.000749598507941e-85,Lsp1,2.3974082,1.2469337647657342e-195,Fibin,4.542821,7.817162507042493e-119,Sept4,4.689889,8.2250220281348e-24,H2afz,0.79098094,0.0,Col15a1,2.809881,0.0,Ifitm3,3.0374687,1.5532062409637579e-136,Tie1,3.7540443,3.026624130403678e-68,Wnk1,2.5421727,1.9651389816450784e-172,Ets1,3.8154159,0.0,Rpl28,0.6745202,0.0,Aldob,4.0296454,0.0,Maob,6.0777955,0.0,Chchd2,1.3236135,6.393530818098112e-201,Tspan1,6.746655,7.626782691045992e-107,Gfra3,7.2968197,4.162379631768238e-62,Kif5c,6.7103686,0.0,Sorbs1,4.9358325,5.974737631071349e-117,Gm12688,6.565499,0.0,Tmem151a,5.0934653,6.614747859604221e-212,S100a11,2.6998682,1.0190575714020594e-209,Lgmn,4.375999,0.0,Ms4a6b,5.8341184,1.0292685480197313e-202,Bnip3l,1.4121541,1.199798869505535e-23
Ubb,0.010287929,1.153901407417356e-53,Basp1,2.2184188,0.0,Actg2,4.157855,0.0,Axl,4.1110225,7.108165912685103e-81,Serping1,4.5167985,0.0,Lhfp,4.540321,6.685413712541232e-83,Chd3,1.9532949,3.973921625954089e-192,Rcn3,2.233363,5.0959512196567764e-117,Cebpd,4.1808815,9.699061695004016e-24,Tubb5,0.8538713,0.0,Gimap1,3.0529172,0.0,Txnip,2.8345299,1.5537799783421692e-136,Mecom,4.6320167,3.412574013923574e-68,Tie1,3.1865647,2.73757393839652e-169,Vwa1,5.4885607,0.0,Rpl3,0.9446244,0.0,Spink1,3.7064116,0.0,Creb3l3,6.877013,0.0,Sult1b1,4.990303,3.3377891075501935e-200,Galnt12,5.8995943,2.4233728094369095e-106,Scgn,11.09793,1.4797981818762462e-61,Scg5,5.825138,0.0,Sema3b,5.853512,9.65064022120098e-116,Serpine2,3.2317383,7.4005295420537e-309,Dlk1,2.6743052,1.2623309405458526e-210,Gas6,4.0326295,1.1438385042661049e-209,Sh3bgrl3,2.04106,0.0,Gm2a,5.223245,3.869615083356501e-202,Ermap,8.744655,1.5447147475786757e-22
Rpl11,-0.014119527,3.3195320905195625e-53,Sfrp2,3.527793,0.0,Emilin1,2.109987,0.0,Mef2c,3.5805366,4.310652642962527e-80,Zeb2,3.3153687,0.0,Bgn,3.3075037,1.5121171533422506e-82,Zfhx4,2.589001,4.199442429689974e-184,H2afy2,2.2829313,3.9976805087701493e-116,Npnt,5.83122,5.158771544249856e-23,Eif5a,0.7472813,8.2845677179555e-310,Ctla2a,2.7966852,0.0,Palmd,5.388723,1.5996818414881613e-136,Col18a1,3.4182372,4.451915253795731e-68,Ptpn18,3.0457802,1.6582657561514656e-168,Sparc,2.9715197,0.0,Rps20,0.6704649,0.0,Klf5,3.9855962,0.0,Myo15b,5.362803,0.0,Hmgcs2,4.4140153,3.3243878955069713e-196,Tspan13,3.3592787,2.457907784553389e-104,Isl1,5.618051,2.7141707089044463e-61,Pcsk1n,7.0079083,0.0,Timp3,3.8692262,3.818794245379e-115,Dnajc1,2.6486366,7.058220094323696e-308,Col3a1,2.7078376,8.959376329579772e-210,Col5a2,3.1943707,5.091450410341504e-208,Unc93b1,4.8725743,0.0,Ly6e,4.0799294,7.2223763544234205e-202,Kel,11.12177,7.848090383087337e-22
Cdkn1c,0.6634984,1.638357137918259e-46,Kcnq1ot1,2.1770139,0.0,Cdkn1c,1.8348536,0.0,Cavin3,3.1132085,5.673591517657493e-80,Pcolce,4.1551776,0.0,Ggt5,6.2746315,1.172876244267359e-81,Clmp,2.843177,4.543182668539735e-182,Dcn,2.8346004,1.040632206480052e-115,Txnip,2.623941,1.4497041509424996e-22,Hspa8,0.44171816,1.9098470532684736e-304,Tmsb4x,1.195654,0.0,Emcn,3.7505097,2.0546786964063365e-135,Cavin2,3.4433882,6.696130727132163e-68,Sgk3,3.8429868,2.51992897975173e-163,Msn,3.312232,0.0,Rpsa,0.92531383,0.0,Ckmt1,3.8344567,0.0,Bpnt1,4.923611,0.0,Bex4,3.8996942,1.067011900064782e-191,Fut2,8.784787,1.4526311971141284e-103,Anxa4,3.2743394,3.574168085280236e-60,Jpt1,2.309086,0.0,Sfrp1,4.1710753,4.504804039787255e-115,Ptprz1,5.8486342,1.7442989134486526e-306,Muc16,5.9058266,1.783036871824882e-209,Col14a1,4.2691255,3.748193863290972e-204,Arpc1b,2.1753645,0.0,Ly86,5.703745,2.2635856811115247e-199,Oaz1,0.69919336,1.5027048675795823e-20
Rpl8,0.10104622,2.956345938141981e-45,Emp3,2.249961,0.0,Col3a1,2.0780044,0.0,S100a11,2.790459,9.016406880584744e-80,Cxcl12,3.8162963,0.0,Tgfb2,4.070555,1.7597966105798774e-81,Tpm1,1.6563262,5.662319283894158e-177,Ogn,3.4887078,1.1782751850605247e-113,Col6a3,3.8420525,5.192026138341172e-22,Tcf15,2.9452744,2.4943244475042517e-297,Vim,2.0341368,0.0,Fstl1,2.8577206,1.1394986510080822e-132,Tek,4.1877365,6.128525134211622e-67,Cd47,2.4234693,6.821700648660047e-163,Cd93,4.2622275,0.0,Ldha,1.6245693,0.0,Vil1,3.975547,0.0,Sult1b1,5.793227,0.0,Chpt1,3.9233603,7.292534359356472e-191,Selenom,3.4389093,1.7385498205865563e-103,Cldn7,3.467253,5.856359271246979e-60,Chrna3,7.3566976,0.0,Ank3,4.871057,4.864533079861313e-114,Ncam1,2.672295,2.7378646534106517e-302,Rcn3,2.1699183,1.1892144346775006e-207,Loxl1,4.0777106,5.109451434391308e-203,Fau,0.95210224,0.0,Prdx5,3.1876502,3.790135718232232e-197,Tmcc2,4.447661,5.53634784142402e-20
Rack1,0.09637018,7.245745370353421e-45,Serpinh1,1.9481969,0.0,Gas1,2.096485,8.41206447074106e-309,Lgals1,3.2879026,9.465205815082937e-80,Nfix,3.6513908,0.0,Fn1,3.4335558,1.9068566043213914e-81,H2afy2,2.0045216,2.2287219468531223e-176,Vcan,2.668179,1.5501573297665773e-112,Meg3,3.2581747,7.734645553376848e-22,Hsp90ab1,0.5474333,1.9596404981532613e-262,Abhd17a,1.9595733,0.0,Klf2,3.9600923,6.33643129550737e-132,Cavin1,3.1563928,2.5651594522668596e-65,S100a16,2.620688,1.9764767260480055e-159,Pcdh17,4.6590676,0.0,Akr1c19,2.571044,0.0,Prap1,4.4648714,0.0,Neu1,4.8126397,0.0,Slc25a5,2.0475473,5.513429722033665e-190,Smim14,3.379475,9.19332576855096e-103,Scg3,5.8903184,3.150194752008007e-59,Ppp1r14b,2.2574308,0.0,Cnp,4.757909,5.0895295711267774e-114,Tshz1,2.8211102,1.7650165571628208e-299,C1qtnf4,3.3161764,2.166081563356684e-205,Ezr,3.268922,2.5748260036657228e-200,Ms4a6b,6.420207,0.0,Ctsb,3.3401105,8.209670833166778e-197,Trim10,11.539749,2.3395047303175565e-19
Rps6,0.009851726,1.4612051870291987e-43,Igf2r,2.1774852,0.0,Col1a1,2.0287337,1.369133437817295e-308,Map3k20,4.8804893,6.474914745197574e-79,Ahnak,2.9047375,0.0,Mfge8,3.3545012,8.600171981204003e-81,H2afv,1.4803782,6.62849235558032e-172,Fn1,2.4174552,6.963882109541696e-112,Myh9,2.644387,2.168775160679252e-21,Tpm4,1.0931448,7.130129916576263e-262,Tmem255a,3.3455956,0.0,Rapgef5,3.9926984,6.931111081548856e-132,Vegfc,5.0733323,4.382891720708536e-65,Degs1,2.703449,8.880344164944248e-158,Epas1,4.6742935,0.0,Rbp4,4.984028,7.528137830492555e-309,Eps8l3,3.9942153,0.0,Eps8l3,5.239022,0.0,Selenop,3.235975,1.654253502551852e-188,Ramp1,4.890588,5.856820652044423e-102,Cdkn1a,4.860263,1.2652922692084863e-58,Hoxb4,3.5491917,0.0,Gas7,5.128048,7.407439576313892e-113,Marcks,1.6931293,5.443809516564717e-298,Npm1,1.1789416,1.0005725047164629e-204,S100a10,2.5677702,7.961474438947168e-199,Itm2b,1.9658134,0.0,Mafb,5.09575,1.6579023438959553e-196,Pim1,2.7787302,1.61416002324778e-16
